지명,위치,Y좌표,X좌표
송학역,함경북도 은덕군 송학리,130.3687428,42.55831152
송화역,황해남도 송화군,125.1381964,38.35351384
송화온천역,황해남도 송화군 온천리,125.1717832,38.30837682
송흥역,함경남도 신흥군,127.5585129,40.33832404
수교역,황해남도 삼천군 수교리,125.2123643,38.31345082
수구포역,함경북도 온성군 영강리,129.8406916,42.86753969
수덕역,평안남도 은산군 수덕리,126.1696617,39.36407576
수동역,함경남도 수동동,127.0131645,39.38940341
수성역,함경북도 청진시 송평구역 수성동,129.7377227,41.83235726
수양역,평안남도 은산군 수양리,126.0663515,39.39359785
수촌역,함경남도 단천시 신평리,128.8766188,40.6922593
수풍선,평안북도,125.2501795,40.03832028
숙천역,평안남도 숙천군,125.6191067,39.41154339
순안역,평양직할시 순안구역 역전동,125.6840587,39.19595429
순천역,평안남도 순천시 역전동,125.9365189,39.42274161
승량역,함경북도 경원군,130.2204624,42.73130354
승리역,나선특별시,130.3658094,42.32785176
승리역,평양직할시 중구역,125.7538538,39.02167055
승방역,자강도 장강군,126.7128853,40.99793757
승방하리역,자강도 장강군,126.6886042,40.98683051
승원역,함경북도 청진시 청암구역 연천리,129.8746905,41.88028322
승호리역,평양직할시 승호구역 승호이동,125.9774992,38.99420222
시정역,평안남도 대동군,125.6328513,39.11467844
시중역,자강도 시중군,126.3521105,41.0823643
시중호역,강원도 통천군 송전리,127.8459437,38.9838275
신강령역,황해남도 강령군 광천리,125.4631625,37.9492169
신건역,함경북도 새별군 신건리,130.2885925,42.67233664
신계역,황해북도 신계군,126.5474149,38.48799549
신남포역,남포특별시 항구구역 유사동,125.3988284,38.75502919
신대역,강원도 통천군 신대리,127.945412,38.8797291
신대역,황해남도 과일군 신대리,125.0772604,38.5068182
신덕역,함경남도 단천시 금골일동,128.8144072,40.96221529
신동역,함경남도 부전군 백암리,127.5771207,40.42084916
신련포역,평안남도 순천시 연포동,125.9669425,39.44033059
신명천역,함경북도 명천군,129.4279694,41.07511679
신북청청년역,함경남도 북청군,128.3733694,40.17768852
