기간,품목코드,품목명,반입_금액(1000달러),반입_금액_증가율(퍼센트),반입_중량(kg),반입_중량_증가율(퍼센트),반출_금액(1000달러),반출_금액_증가율(퍼센트),반출_중량(kg),반축_중량_증가율(퍼센트),반출입_금액(1000달러),반출입_금액_증가율(퍼센트),반출입_중량(kg),반출입_중량_증가율(퍼센트)
1992,46,제46류 짚·에스파르토 또는 기타 조물재료의 제품과 농세공물 및 지조세공물,437.225,213.587,4000007,,,,,,437.225,213.587,4000007,
1992,48,"제48류 지와 판지, 제지용 펄프, 지 또는 판지의 제품",,,,,127.755,,134,,127.755,,134,
1992,49,"제49류 인쇄서적·신문·회화 및 기타의 인쇄물, 수제문서·타이프문서 및 도면",10.243,,0,,,,,,10.243,,0,
1992,50,제50류 견,506.312,-68.12,16362,-65.186,,,,,506.312,-68.12,16362,-65.186
1992,51,제51류 양모·섬수모 또는 조수모·마모사 및 이들의 직물,,,,,138.27,,0,,138.27,,0,
1992,52,제52류 면,337.299,,160652,,,,,,337.299,1225.808,160652,10483.135
1992,55,제55류 인조스테이플섬유,,,,,41.55,20884.848,0,-100,41.55,20884.848,0,-100
1992,56,제56류 워딩·펠트 및 부직포·특수사·끈·코디지·로프 및 케이블과 이들의 제품,,,,,264.005,557.121,0,-100,264.005,557.121,0,-100
1992,58,"제58류 특수직물, 터후트한 섬유직물, 레이스, 태피스트리, 트리밍과 자수포",1.043,,573,,37.328,,2300,,38.371,,2873,
1992,59,제59류 침투·도포·피복 또는 적층한 방직용 섬유의 직물 ; 공업용의 방직용 섬유제품,,,,,107.359,,12888,,107.359,,12888,
1992,60,제60류 메리야스 편물과 뜨게질 편물,,,,,51.706,,359,,51.706,,359,
1992,61,제61류 의류와 그 부속품(메리야스 편물 또는 뜨게질 편물의 것에 한한다),150.975,,521000,,29.1,,0,,180.075,,521000,
1992,62,제62류 의류와 그 부속품(메리야스 편물 또는 뜨게질 편물의 것을 제외한다),2521.971,,0,,68.23,,0,,2590.201,,0,
1992,63,"제63류 제품으로 된 방직용 섬유의 기타 물품, 세트, 사용하던 의류·사용하던 방직용 섬유제품 및 넝마",166.457,,0,,0.685,,0,,167.142,,0,
1992,64,제64류 신발류·각반 및 이와 유사한 것과 이들의 부분품,125.18,,0,,79.718,,2686,,204.898,,2686,
1992,68,제68류 석·플라스터·시멘트·석면·운모 또는 이와 유사한 재료의 제품,0.777,,462,,,,,,0.777,,462,
1992,70,제70류 유리와 유리제품,,,,,6.888,,0,,6.888,,0,
1992,71,"제71류 천연 또는 양식진주·귀석 또는 반귀석·귀금속·귀금속을 입힌 금속 및 이들의 제품, 모조신변장식용품과 주화",41045.842,119.014,33740,-94.465,,,,,41045.842,119.014,33740,-94.465
1992,72,제72류 철강,23041.29,26.805,102524800,56.476,1957.432,,5034000,,24998.722,37.577,107558800,64.159
1992,73,제73류 철강의 제품,5.67,,500,,,,,,5.67,,500,
1992,78,제78류 연(鉛)과 그 제품,1757.416,19.841,2854000,12.009,,,,,1757.416,19.841,2854000,12.009
1992,79,제79류 아연과 그 제품,59309.065,26.065,46227720,5.929,,,,,59309.065,26.065,46227720,5.929
1992,80,제80류 주석과 그 제품,103.291,,66000,,,,,,103.291,,66000,
1992,82,제82류 비금속제의 공구·도구·칼붙이·스푼과 포크 및 이들의 부분품,258.04,,1102000,,,,,,258.04,,1102000,
